"Date of data","Commodity code","Commodity","Trading partner code","Trading partner","US dollar",
"202407","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","410","Brazil","105,028",
"202407","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","502","United States","17,818,631",
"202407","6402","Other footwear with outer soles and uppers of rubber or plastics.","116","Japan","70,749,914",
"202407","6402","Other footwear with outer soles and uppers of rubber or plastics.","141","Viet Nam","33,962,253",
"202407","6402","Other footwear with outer soles and uppers of rubber or plastics.","304","Germany","78,141,274",
"202407","6402","Other footwear with outer soles and uppers of rubber or plastics.","344","Russia","107,757,520",
"202407","6402","Other footwear with outer soles and uppers of rubber or plastics.","402","Argentina","1,388,264",
"202407","6402","Other footwear with outer soles and uppers of rubber or plastics.","410","Brazil","1,044,093",
"202407","6402","Other footwear with outer soles and uppers of rubber or plastics.","502","United States","382,991,016",
"202407","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","116","Japan","16,821,866",
"202407","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","141","Viet Nam","10,508,639",
"202407","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","304","Germany","26,469,928",
"202407","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","344","Russia","107,731,015",
"202407","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","402","Argentina","1,332,927",
"202407","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","410","Brazil","688,500",
"202407","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","502","United States","258,689,554",
"202407","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","116","Japan","55,649,190",
"202407","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","141","Viet Nam","9,356,334",
"202407","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","304","Germany","37,695,947",
"202407","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","344","Russia","57,873,573",
"202407","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","402","Argentina","1,599,332",
"202407","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","410","Brazil","1,870,304",
"202407","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","502","United States","296,914,239",
"202407","6405","Other footwear.","116","Japan","7,738,962",
"202407","6405","Other footwear.","141","Viet Nam","691,435",
"202407","6405","Other footwear.","304","Germany","3,422,054",
"202407","6405","Other footwear.","344","Russia","2,393,261",
"202407","6405","Other footwear.","402","Argentina","5,157",
"202407","6405","Other footwear.","410","Brazil","137,073",
"202407","6405","Other footwear.","502","United States","43,886,512",
"202408","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","116","Japan","9,189,550",
"202408","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","141","Viet Nam","394,739",
"202408","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","304","Germany","1,475,136",
"202408","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","344","Russia","313,154",
